PALB2	BRCA1
G6PD	0.308478622517688	0.341900019384054
HMOX1	-0.0270450735126047	-0.0379458468566642
FTH1	-0.0756354735152371	-0.0840334035318055
NRF2_all	0.16057014066895	0.170048270560336
NRF2_GSHmetabolism	0.30681752551629	0.306262137573284
NRF2_ROS	0.0012913225814531	-0.0114884241108673
NRF2_TXN	0.264846358423058	0.287373723236139
NRF2_NADPH	0.306962430291921	0.348313856142796
NRF2_HemeIron	-0.122706590196341	-0.0991140092781597
Oxi_oxidases	-0.200325354066346	-0.180452133062446
Oxi_Superoxide	-0.34247164688646	-0.331449537712587
Oxi_redox	-0.0895938590285739	-0.0984218701615647
Oxi_1	-0.140026889816293	-0.16539779426589
Oxi_2	-0.13522971830528	-0.150320926247003
Oxi_3	-0.211958054951574	-0.186558384476479
Oxi_4	0.134129153480425	0.167327861796321
Oxi_5	0.0825747699796055	0.223505594810481
Oxi_6	-0.0944503865241237	-0.128334465073407
Oxi_7	-0.34247164688646	-0.331449537712587
Oxi_8	0.0710069441285302	0.102500255101733
Oxi_9	0.137151672312431	0.131350686096161
Oxi_10	-0.357543915641466	-0.353173654778527
Oxi_11	-0.271235339499305	-0.241165519562861
Oxi_12	-0.057062293614115	-0.0755928620481735
Oxi_13	0.224986062472385	0.27319629488572
Oxi_14	-0.247176500913463	-0.313785744070869
Oxi_15	0.163404140337509	0.127003125297095
Oxi_16	0.356742185187108	0.286406689381558
